"lat" "lon" "pm10"
50.6610947222222 14.0430630555556 28.3
50.97501 14.51299 18.2
50.3207052777778 13.5469236111111 NA
50.6980438888889 14.537345 24.9
50.9382172222222 15.0802880555556 16.9
50.8199538888889 15.3444852777778 13.1
50.7273636111111 15.1621561111111 22.7
50.7649383333333 15.0538969444444 26
50.7533341666667 15.0825005555556 NA
50.6245536111111 15.0784769444444 22.2
50.7896461111111 15.3196830555556 13.3
50.7422219444444 15.2924994444444 17.6
50.7384644444444 15.3029061111111 24.5
50.1953622222222 15.8463763888889 28.6
50.2117005555556 15.8141488888889 NA
50.2185325 15.8570061111111 23.8
50.4394988888889 15.3526411111111 21.6
50.3502769444444 16.3225002777778 NA
50.1723822222222 16.2682380555556 NA
50.3280105555556 16.3834591666667 20.5
50.5818138888889 15.8939561111111 22.9
50.3542136111111 15.8385352777778 25.1
49.7581213888889 16.6518019444444 24.6
50.0240363888889 15.7635488888889 29.9
50.0615386111111 15.8504744444444 22.1
49.7522202777778 16.4747219444444 24.9
49.7350844444444 16.0341969444444 14.7
49.9697227777778 16.3972225 37.6
49.9803544444444 16.4221230555556 19.6
49.6055563888889 15.5791675 19.6
49.4016686111111 15.6099080555556 18.3
49.3933333333333 15.5924997222222 32.1
49.5733947222222 15.0802783333333 17.9
49.3835983333333 16.0986155555556 16.5
49.2234383333333 15.8657780555556 24.2
49.5597227777778 15.9430561111111 29
49.2160872222222 16.6138363888889 31.6
49.1652602777778 16.5808125 35.4
49.2081602777778 16.6425172222222 40.6
49.1896208333333 16.5695380555556 32
49.1858825 16.6136608333333 38.7
49.1888886111111 16.6269436111111 28.5
49.2054597222222 16.5972691666667 35.1
49.2555427777778 16.6204966666667 22.5
49.2164725 16.5677605555556 28.3
49.213215 16.6779575 31
49.1980897222222 16.5936430555556 30
49.1489716666667 16.6962166666667 24.5
48.8572236111111 17.1333333333333 27.8
48.8813552777778 16.0858172222222 22.7
49.0687486111111 17.0707263888889 27.6
48.7917672222222 16.7244969444444 22.4
49.2809638888889 16.9796238888889 21.1
48.8429566666667 16.0601272222222 24.6
49.5870819444444 17.8042202777778 NA
49.931965 16.9607733333333 28
50.2422408333333 17.1901797222222 17.2
49.6016425 17.2378369444444 37.7
49.6016425 17.2378369444444 38.2
49.592865 17.2660941666667 27.8
49.4516563888889 17.4541588888889 31.9
49.4678572222222 17.114725 32.5
49.9633330555556 16.9685994444444 39.8
49.0679511111111 17.4668483333333 34.7
49.3444480555556 17.9960116666667 22.2
49.2329063888889 17.6671752777778 25
49.2233886111111 17.6615830555556 30.3
49.5026091666667 18.5385608333333 16.6
49.9041405555556 18.3473605555556 NA
49.5592155555556 18.3483544444444 21.3
49.7771416666667 17.5419463888889 17.5
49.7489586111111 18.6097258333333 32.7
49.7489586111111 18.6097258333333 39.5
49.6717911111111 18.3510702777778 36
49.5430488888889 18.2112177777778 21.4
49.7909775 18.4068355555556 46.5
49.8588905555556 18.5577775 30.7
49.8637961111111 18.5514525 44.5
49.5941925 18.7439652777778 27.8
49.8398475 18.2899761111111 42.5
49.8391875 18.2636891666667 43.5
49.8248597222222 18.2636547222222 45.7
49.8252944444444 18.159275 36.8
49.8562583333333 18.2697411111111 50.3
49.8070563888889 18.3391380555556 56.4
49.8185386111111 18.3403436111111 44.9
49.87566 18.4336072222222 41.2
